NAME       INSTALLED  FIXED IN                       TYPE       VULNERABILITY   SEVERITY  EPSS         RISK   
stdlib     go1.23.12  *1.24.12, 1.25.6               go-module  CVE-2025-61726  High      1.9% (77th)  1.5    
stdlib     go1.23.12  *1.24.13, 1.25.7, 1.26.0-rc.3  go-module  CVE-2025-68121  Critical  0.8% (51st)  0.7    
stdlib     go1.23.12  *1.25.11, 1.26.4               go-module  CVE-2026-27145  High      0.9% (56th)  0.7    
stdlib     go1.23.12  *1.25.10, 1.26.3               go-module  CVE-2026-33811  High      0.8% (52nd)  0.6    
stdlib     go1.23.12  *1.25.10, 1.26.3               go-module  CVE-2026-42499  High      0.8% (52nd)  0.6    
stdlib     go1.23.12  *1.25.10, 1.26.3               go-module  CVE-2026-39820  High      0.8% (51st)  0.6    
stdlib     go1.23.12  *1.25.10, 1.26.3               go-module  CVE-2026-33814  High      0.8% (51st)  0.6    
stdlib     go1.23.12  *1.25.8, 1.26.1                go-module  CVE-2026-25679  High      0.7% (49th)  0.5    
stdlib     go1.23.12  *1.24.8, 1.25.2                go-module  CVE-2025-61723  High      0.6% (45th)  0.5    
stdlib     go1.23.12  *1.25.9, 1.26.2                go-module  CVE-2026-32283  High      0.6% (45th)  0.5    
stdlib     go1.23.12  *1.25.9, 1.26.2                go-module  CVE-2026-32280  High      0.6% (45th)  0.5    
stdlib     go1.23.12  *1.24.8, 1.25.2                go-module  CVE-2025-61725  High      0.6% (45th)  0.5    
stdlib     go1.23.12  *1.25.10, 1.26.3               go-module  CVE-2026-39836  High      0.6% (44th)  0.4    
stdlib     go1.23.12  *1.25.11, 1.26.4               go-module  CVE-2026-42504  High      0.6% (42nd)  0.4    
stdlib     go1.23.12  *1.24.12, 1.25.6               go-module  CVE-2025-61728  Medium    0.6% (46th)  0.4    
stdlib     go1.23.12  *1.24.11, 1.25.5               go-module  CVE-2025-61729  High      0.5% (36th)  0.3    
form-data  4.0.5      4.0.6                          npm        CVE-2026-12143  High      0.4% (32nd)  0.3    
stdlib     go1.23.12  *1.24.9, 1.25.3                go-module  CVE-2025-58187  High      0.4% (30th)  0.3    
stdlib     go1.23.12  *1.24.8, 1.25.2                go-module  CVE-2025-58186  Medium    0.5% (41st)  0.3    
stdlib     go1.23.12  *1.24.8, 1.25.2                go-module  CVE-2025-61724  Medium    0.5% (40th)  0.3    
stdlib     go1.23.12  *1.24.8, 1.25.2                go-module  CVE-2025-58185  Medium    0.5% (40th)  0.3    
stdlib     go1.23.12  *1.24.8, 1.25.2                go-module  CVE-2025-58188  High      0.4% (28th)  0.3    
stdlib     go1.23.12  *1.25.9, 1.26.2                go-module  CVE-2026-32281  High      0.3% (27th)  0.3    
stdlib     go1.23.12  *1.24.8, 1.25.2                go-module  CVE-2025-47912  Medium    0.4% (35th)  0.2    
stdlib     go1.23.12  *1.24.8, 1.25.2                go-module  CVE-2025-58189  Medium    0.4% (35th)  0.2    
yaml       1.10.2     1.10.3                         npm        CVE-2026-33532  Medium    0.5% (37th)  0.2    
stdlib     go1.23.12  *1.25.12, 1.26.5, 1.27.0-rc.2  go-module  CVE-2026-42505  Medium    0.4% (33rd)  0.2    
stdlib     go1.23.12  *1.25.10, 1.26.3               go-module  CVE-2026-39826  Medium    0.4% (29th)  0.2    
stdlib     go1.23.12  *1.25.10, 1.26.3               go-module  CVE-2026-39825  Medium    0.4% (31st)  0.2    
stdlib     go1.23.12  *1.24.8, 1.25.2                go-module  CVE-2025-58183  Medium    0.4% (33rd)  0.2    
stdlib     go1.23.12  *1.25.11, 1.26.4               go-module  CVE-2026-42507  Medium    0.4% (29th)  0.2    
stdlib     go1.23.12  *1.25.8, 1.26.1                go-module  CVE-2026-27142  Medium    0.3% (24th)  0.2    
stdlib     go1.23.12  *1.25.10, 1.26.3               go-module  CVE-2026-39823  Medium    0.3% (23rd)  0.2    
stdlib     go1.23.12  *1.25.9, 1.26.2                go-module  CVE-2026-32282  Medium    0.3% (21st)  0.2    
stdlib     go1.23.12  *1.25.9, 1.26.2                go-module  CVE-2026-32289  Medium    0.3% (20th)  0.2    
stdlib     go1.23.12  *1.24.11, 1.25.5               go-module  CVE-2025-61727  Medium    0.3% (19th)  0.2    
stdlib     go1.23.12  *1.25.9, 1.26.2                go-module  CVE-2026-32288  Medium    0.3% (20th)  0.2    
stdlib     go1.23.12  *1.24.12, 1.25.6               go-module  CVE-2025-61730  Medium    0.3% (19th)  0.1    
stdlib     go1.23.12  *1.25.12, 1.26.5, 1.27.0-rc.2  go-module  CVE-2026-39822  High      0.2% (7th)   0.1    
stdlib     go1.23.12  *1.25.8, 1.26.1                go-module  CVE-2026-27139  Low       0.2% (10th)  < 0.1
